"Timestamp","What's your participant number?","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C"
"2018/03/14 2:02:56 pm EET","2","5","2","6","6","4","5","6","3","6","7","3","7","6","3","7","6","3","6","6","1","7","2","5","2","3","5","2","4","2","4","4","7","4","3","6","4"
"2018/03/15 1:18:09 pm EET","5","3","5","3","2","3","6","4","2","6","4","3","7","3","2","6","3","2","5","5","6","2","4","7","2","3","6","2","6","2","3","2","5","4","2","5","2"
