"Timestamp","What's your participant number?","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C"
"2018/03/14 4:16:52 pm EET","3","6","5","7","5","6","7","6","6","7","7","6","7","4","6","7","5","6","6","5","6","7","6","5","4","2","2","2","5","5","6","5","3","3","1","1","1"
"2018/03/15 4:27:07 pm EET","6","5","6","7","7","5","6","6","5","6","7","6","7","7","2","4","7","5","5","6","5","5","4","5","3","4","5","4","6","3","6","3","6","4","3","6","4"
