"Timestamp","What's your participant number?","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C","Keyboard A","Keyboard B","Keyboard C"
"2018/03/14 11:45:22 am EET","1","3","5","2","4","3","4","3","2","3","4","5","5","2","3","1","3","3","4","3","3","4","6","7","4","6","7","5","6","6","6","7","7","6","7","7","6"
"2018/03/15 11:39:30 am EET","4","5","5","5","2","4","6","3","5","5","6","6","6","1","4","4","3","4","6","4","4","5","4","2","5","5","3","4","2","4","5","4","3","3","5","3","3"
