Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,30,0,1,0,1,1,0,0,1,0,30,0,0,30,0,0
2,0,1.0513415,0,0,0,0.951165724933335,22,0,0.956521739130435,0.0434782608695652,1,1,0.0434782608695652,0,1,0,22,1,1,22,0,2
3,0,0,0,0,0,0,28,0,1,0,1,1,0,0,1,0,28,0,0,28,0,0
4,1,36.285449,8.26777698134588,8.26777698134588,0.688981415112157,0.799218441530102,0,1.15384615384615,0,0.0714285714285714,0.0714285714285714,1,1,0.866666666666667,0.133333333333333,26,0,2,2,26,26,30
5,1,22.2773789,10.2345972128705,9.72286735222697,0.852883101072541,0.852883101072541,1,1,0.05,0,0.05,1,0,0.95,0.05,19,1,0,0,20,20,20
6,1,33.0503193,8.71398540467353,8.71398540467353,0.726165450389461,0.726165450389461,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
7,1,28.6386742,0.838027620705989,0.232785450196108,0.0698356350588324,0.872945438235405,26,8.66666666666667,0.722222222222222,0.25,0.972222222222222,0.642857142857143,0.257142857142857,0.02,0.98,1,26,9,14,27,3,26
8,1,49.07417,5.86866777369846,5.86866777369846,0.489055647808205,0.774338109029658,0,1.56,0,0.21875,0.21875,1,1,0.641025641025641,0.358974358974359,25,0,7,7,25,25,39
9,1,69.82932,3.4369516987993,3.124501544363,0.286412641566608,0.630107811446538,3,2.14285714285714,0.0909090909090909,0.363636363636364,0.454545454545455,1,0.8,0.4,0.6,18,3,12,12,20,21,45
10,1,312.4014648,1.11395124290723,1.1001987584269,0.0928292702422694,0.448141304617852,1,4.7,0.0123456790123457,0.62962962962963,0.641975308641975,0.85,0.980769230769231,0.205673758865248,0.794326241134752,29,1,51,60,30,30,141
11,1,42.9833716,5.02519909350247,5.02519909350247,0.418766591125206,1.34935901584789,0,3.10526315789474,0,0.512820512820513,0.512820512820513,1,1,0.322033898305085,0.677966101694915,19,0,20,20,19,19,59
12,1,28.7869349,9.1708270059693,8.87499387674448,0.764235583830775,1.32004328116225,1,1.69565217391304,0.032258064516129,0.258064516129032,0.290322580645161,1,0.888888888888889,0.564102564102564,0.435897435897436,22,1,8,8,23,23,39
13,1,194.9429808,1.72358090874129,1.65854011973219,0.143631742395108,0.379598176329927,2,2.58620689655172,0.0377358490566038,0.433962264150943,0.471698113207547,1,0.92,0.368421052631579,0.631578947368421,28,2,23,23,30,29,75
14,1,266.9752268,1.21359574775348,1.16553254982265,0.101132978979456,0.868994486045699,4,8.32142857142857,0.0396039603960396,0.693069306930693,0.732673267326733,0.518518518518518,0.945945945945946,0.114406779661017,0.885593220338983,27,4,70,135,31,28,233
15,1,48.7595044,6.39875248608967,6.39875248608967,0.533229373840805,0.98442345939841,0,1.81481481481481,0,0.289473684210526,0.289473684210526,1,1,0.551020408163265,0.448979591836735,27,0,11,11,27,27,49
