Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,70.8199631,3.5583187136679,3.5583187136679,0.296526559472325,0.635414056012125,0,2.09090909090909,0,0.352941176470588,0.352941176470588,1,1,0.478260869565217,0.521739130434783,22,0,12,12,22,22,46
2,0,35.110883,7.86081056406357,7.86081056406357,0.655067547005297,0.768992337788827,0,1.16666666666667,0,0.0769230769230769,0.0769230769230769,1,1,0.857142857142857,0.142857142857143,24,0,2,2,24,24,28
3,0,11.7350066,9.20323300031207,3.8346804167967,0.76693608335934,0.76693608335934,14,1,0.583333333333333,0,0.583333333333333,1,0,0.416666666666667,0.583333333333333,10,14,0,0,24,10,10
4,1,24.7747474,12.5934684605503,12.5934684605503,1.04945570504586,1.13018306697246,0,1.07407407407407,0,0.0357142857142857,0.0357142857142857,1,1,0.931034482758621,0.0689655172413793,27,0,1,1,27,27,29
5,1,40.1568428,7.47070683554834,7.22168327436339,0.622558902962361,0.821777751910317,1,1.30769230769231,0.0333333333333333,0.133333333333333,0.166666666666667,1,0.8,0.735294117647059,0.264705882352941,25,1,4,4,25,26,34
6,1,20.4967737,11.7091598664623,11.7091598664623,0.975763322205192,1.07333965442571,0,1.0952380952381,0,0.0454545454545455,0.0454545454545455,1,1,0.91304347826087,0.0869565217391304,21,0,1,1,21,21,23
7,1,17.6534406,8.15705013333208,5.30208258666585,0.679754177777674,0.793046540740619,7,1.15384615384615,0.35,0.05,0.4,1,0.125,0.571428571428571,0.428571428571429,12,7,1,1,19,13,15
8,1,29.8743691,9.2386888264027,7.9188761369166,0.769890735533558,0.769890735533558,4,1,0.142857142857143,0,0.142857142857143,1,0,0.857142857142857,0.142857142857143,24,4,0,0,28,24,24
9,1,42.3363507,9.63710837741147,9.36176242377115,0.803092364784289,0.803092364784289,1,1,0.0285714285714286,0,0.0285714285714286,1,0,0.971428571428571,0.0285714285714286,34,1,0,0,34,35,35
10,1,25.1869113,9.52875869301211,9.52875869301211,0.794063224417676,0.794063224417676,0,1,0,0,0,1,1,1,0,21,0,0,0,21,21,21
11,1,2.3391021,10.2603473358431,1.71005788930718,0.855028944653592,0.855028944653592,15,1,0.833333333333333,0,0.833333333333333,1,0,0.166666666666667,0.833333333333333,3,15,0,0,18,3,3
12,1,18.9769965,10.1175125368232,9.52236474053949,0.843126044735267,0.843126044735267,1,1,0.0588235294117647,0,0.0588235294117647,1,0,0.941176470588235,0.0588235294117647,16,1,0,0,16,17,17
13,1,40.6615384,5.01702611428986,5.01702611428986,0.418085509524155,0.418085509524155,0,1,0,0,0,1,1,1,0,18,0,0,0,18,18,18
14,1,29.3406215,10.6337215794832,10.6337215794832,0.886143464956937,0.954308346876701,0,1.07407407407407,0,0.0357142857142857,0.0357142857142857,1,1,0.931034482758621,0.0689655172413793,27,0,1,1,27,27,29
15,1,31.5468957,7.60772160539397,7.60772160539397,0.633976800449497,0.633976800449497,0,1,0,0,0,1,1,1,0,21,0,0,0,21,21,21
