Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,29,0,1,0,1,1,0,0,1,0,29,0,0,29,0,0
2,0,0,0,0,0,0,20,0,1,0,1,1,0,0,1,0,20,0,0,20,0,0
3,0,66.7079361,7.01565701715661,4.29530021458568,0.584638084763051,0.854471046961382,19,1.45,0.387755102040816,0.183673469387755,0.571428571428571,1,0.321428571428571,0.362068965517241,0.637931034482759,21,19,9,9,23,40,58
4,1,188.4607561,3.69307655558111,1.46711260427195,0.307756379631759,0.461634569447639,44,1.49152542372881,0.602739726027397,0.191780821917808,0.794520547945205,0.933333333333333,0.241379310344828,0.170454545454545,0.829545454545455,15,44,14,15,24,59,88
5,1,238.6785603,1.35747425153209,1.0766175098358,0.113122854294341,0.121502324982811,6,1.07142857142857,0.206896551724138,0.0344827586206897,0.241379310344828,1,0.142857142857143,0.733333333333333,0.266666666666667,22,6,1,1,24,28,30
6,1,132.2698768,5.80631069280621,2.07987248697536,0.483859224400517,0.51410042592555,43,1.06153846153846,0.641791044776119,0.0298507462686567,0.671641791044776,1,0.0444444444444444,0.318840579710145,0.681159420289855,22,43,2,2,26,65,69
7,1,175.4076718,4.515195896922,1.43962767727948,0.3762663247435,0.399070344424924,47,1.05970149253731,0.681159420289855,0.0289855072463768,0.710144927536232,1,0.0408163265306122,0.28169014084507,0.71830985915493,20,47,2,2,30,67,71
