Credit: http://dx.doi.org/10.1145/572020.572056
Character,Count,Ins,Sub,Del,Total
Space,31,0,0,0,0
I,1,0,0,0,0
a,14,0,0,0,0
b,1,0,0,0,0
c,6,0,0,0,0
d,6,0,0,0,0
e,18,0,0,0,0
f,3,0,0,0,0
g,6,0,0,0,0
h,8,0,0,0,0
i,12,0,0,0,0
k,3,0,0,0,0
l,8,0,0,0,0
m,2,0,0,0,0
n,10,0,0,0,0
o,13,0,0,0,0
p,2,0,0,0,0
r,10,0,0,0,0
s,7,0,0,0,0
t,22,0,0,0,0
u,9,0,0,0,0
w,3,0,0,0,0
y,8,0,0,0,0
Insertion,10,1,0,0,1
Total,213,10,0,0,10
 ,Average,0,0469483568075117,0,0,0,0469483568075117
