Credit: http://dx.doi.org/10.1145/1188816.1188819
,COUNTS,,,,,ERROR RATES,,,SUBSTITUTIONS vs. INTENTIONS,,,,OMISSIONS vs. PRESENTATIONS,,,,INSERTIONS vs. ENTRIES,,,,
Character,Presented,Transcribed,Entered,Intended,Correct,Unc,Cor,Total,Count,Unc,Cor,Total,Count,Unc,Cor,Total,Count,Unc,Cor,Total
Space,43,43,47,47,46,0,0,25,0,0212765957446809,1,0,0,0212765957446809,0,0212765957446809,1,0,0,0232558139534884,0,0232558139534884,1,0,0,0212765957446809,0,0212765957446809
a,19,19,20,19,19,0,1,0,05,0,0,0,0,2,0,0,105263157894737,0,105263157894737,0,0,0,0
b,5,5,7,5,5,0,1,0,285714285714286,0,0,0,0,0,0,0,0,0,0,0,0
c,10,9,9,9,9,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
d,9,9,12,11,11,0,0,333333333333333,0,0833333333333334,0,0,0,0,1,0,0,111111111111111,0,111111111111111,0,0,0,0
e,29,29,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,3,3,4,3,3,0,1,0,25,0,0,0,0,1,0,0,333333333333333,0,333333333333333,0,0,0,0
h,9,9,9,12,9,0,0,0,3,0,0,25,0,25,0,0,0,0,0,0,0,0
i,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,12,12,14,12,12,0,1,0,142857142857143,0,0,0,0,0,0,0,0,0,0,0,0
m,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,16,15,16,16,16,0,0,0,0,0,0,0,1,0,0625,0,0,0625,0,0,0,0
o,12,12,13,12,12,0,0833333333333334,0,0,0769230769230769,0,0,0,0,1,0,0833333333333333,0,0,0833333333333333,1,0,0769230769230769,0,0,0769230769230769
p,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,16,16,17,16,16,0,1,0,0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0
s,20,20,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,11,11,11,13,11,0,0,0,2,0,0,153846153846154,0,153846153846154,0,0,0,0,0,0,0,0
u,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,3,3,3,4,3,0,0,0,1,0,0,25,0,25,0,0,0,0,0,0,0,0
w,6,7,7,7,6,0,142857142857143,0,0,142857142857143,1,0,0,142857142857143,0,142857142857143,0,0,0,0,1,0,142857142857143,0,0,142857142857143
y,8,8,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,272,271,295,292,284,0,00738007380073802,0,375,0,0372881355932203,8,0,0,0273972602739726,0,0273972602739726,8,0,0110294117647059,0,0183823529411765,0,0294117647058824,3,0,00677966101694915,0,00338983050847458,0,0101694915254237
