Credit: http://dx.doi.org/10.1145/572020.572056
Character,Count,Ins,Sub,Del,Total
Space,40,0,0,0,0
I,2,0,0,0,0
a,13,0,0,0,0
b,9,0,0,0,0
c,6,0,0,0,0
d,4,0,0,0,0
e,33,0,0,0,0
f,4,0,0,0,0
g,10,0,0,0,0
h,10,0,0,0,0
i,19,0,0,0,0
k,1,0,0,0,0
l,13,0,0,0,0
m,3,0,0,0,0
n,14,0,0,0,0
o,16,0,0,0,0
p,6,0,0,0,0
r,16,0,0,0,0
s,19,0,0,0,0
t,20,0,0,0,0
u,6,0,0,0,0
v,3,0,0,0,0
w,8,0,0,0,0
y,6,0,0,0,0
Insertion,1,1,0,0,1
Total,282,1,0,0,1
 ,Average,0,00354609929078014,0,0,0,00354609929078014
