Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,104.4674211,0,0,0,1.07210457404505,31,0,0.3875,0.6125,1,0.765625,0.6125,0,1,0,31,49,64,31,0,113
2,0,155.3541372,2.00831471644902,1.81520753217508,0.167359559704085,0.534263209824579,5,3.11111111111111,0.0961538461538462,0.480769230769231,0.576923076923077,0.78125,0.833333333333333,0.261904761904762,0.738095238095238,22,5,25,32,23,27,84
3,0,172.4576798,1.39164576653431,1.39164576653431,0.115970480544526,0.371105537742483,0,3.0952380952381,0,0.511627906976744,0.511627906976744,1,1,0.323076923076923,0.676923076923077,21,0,22,22,21,21,65
4,1,24.4073879,14.2579780116495,13.3381084625108,1.18816483430412,1.18816483430412,2,1,0.0645161290322581,0,0.0645161290322581,1,0,0.935483870967742,0.0645161290322581,29,2,0,0,31,30,30
5,1,21.6451708,10.5335274138839,10.0319308703656,0.877793951156994,0.877793951156994,1,1,0.0476190476190476,0,0.0476190476190476,1,0,0.952380952380952,0.0476190476190476,20,1,0,0,21,20,20
6,1,38.2260955,8.4758852758059,7.89134146368135,0.706323772983825,0.758644052464108,2,1.07142857142857,0.0689655172413793,0.0344827586206897,0.103448275862069,1,0.333333333333333,0.866666666666667,0.133333333333333,26,2,1,1,27,28,30
7,1,192.0309173,2.74955724538426,2.57023829459833,0.229129770448688,0.755086743524086,6,3.24444444444444,0.0652173913043478,0.510869565217391,0.576086956521739,0.87037037037037,0.886792452830189,0.267123287671233,0.732876712328767,39,6,47,54,42,45,146
8,1,41.6338806,9.51148425976895,9.05855643787519,0.792623688314079,1.34505838016935,2,1.67647058823529,0.0476190476190476,0.19047619047619,0.238095238095238,0.533333333333333,0.8,0.56140350877193,0.43859649122807,32,2,8,15,33,34,57
9,1,76.1757092,4.72591596167246,4.65840287650572,0.393826330139372,1.52279514320557,1,3.7741935483871,0.0142857142857143,0.557142857142857,0.571428571428571,0.829787234042553,0.975,0.256410256410256,0.743589743589744,30,1,39,47,31,31,117
10,1,33.0834155,10.8815850648794,10.5415355316019,0.906798755406617,0.967252005767059,1,1.06451612903226,0.03125,0.03125,0.0625,1,0.5,0.909090909090909,0.0909090909090909,30,1,1,1,31,31,33
11,1,37.8830072,8.86941203548382,7.09552962838705,0.739117669623651,0.739117669623651,6,1,0.2,0,0.2,1,0,0.8,0.2,24,6,0,0,30,29,29
12,1,37.2639003,6.76257713151943,6.14779739229039,0.563548094293286,0.563548094293286,2,1,0.0909090909090909,0,0.0909090909090909,1,0,0.909090909090909,0.0909090909090909,20,2,0,0,22,22,22
13,1,34.2274696,6.66131626627754,5.82865173299285,0.555109688856462,0.788840084164446,3,1.4,0.125,0.166666666666667,0.291666666666667,1,0.571428571428571,0.607142857142857,0.392857142857143,17,3,4,4,19,20,28
14,1,92.2060875,4.16458403573408,3.06864086843564,0.347048669644507,0.921848028743222,15,2.60606060606061,0.263157894736842,0.421052631578947,0.684210526315789,0.827586206896552,0.615384615384615,0.209302325581395,0.790697674418605,18,15,24,29,24,33,86
15,1,44.553666,6.7334526411362,6.17233158770818,0.561121053428016,1.61602863387269,4,2.80769230769231,0.0833333333333333,0.458333333333333,0.541666666666667,0.88,0.846153846153846,0.301369863013699,0.698630136986301,22,4,22,25,22,26,73
16,1,32.1565337,11.9415856069089,11.2391393947378,0.995132133909073,1.05732789227839,2,1.06060606060606,0.0588235294117647,0.0294117647058824,0.0882352941176471,1,0.333333333333333,0.885714285714286,0.114285714285714,31,2,1,1,32,33,35
17,1,36.3971118,9.56119820474327,7.96766517061939,0.796766517061939,0.796766517061939,6,1,0.166666666666667,0,0.166666666666667,1,0,0.833333333333333,0.166666666666667,30,6,0,0,36,30,30
18,1,31.2818536,13.042705372165,13.042705372165,1.08689211434709,1.08689211434709,0,1,0,0,0,1,1,1,0,35,0,0,0,35,35,35
