Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,26,0,1,0,1,1,0,0,1,0,26,0,0,26,0,0
2,0,40.3114276,5.06059973921638,3.79544980441229,0.421716644934698,0.917853874269638,8,2.11111111111111,0.25,0.1875,0.4375,0.428571428571429,0.428571428571429,0.391304347826087,0.608695652173913,18,8,6,14,26,18,38
3,0,55.7485428,6.45756789180147,5.87051626527406,0.538130657650122,1.25563820118362,5,2.29032258064516,0.0909090909090909,0.363636363636364,0.454545454545455,1,0.8,0.4,0.6,30,5,20,20,35,31,71
4,1,36.6530226,14.4053603917512,14.4053603917512,1.2004466993126,1.30957821743192,0,1.08888888888889,0,0.0425531914893617,0.0425531914893617,1,1,0.918367346938776,0.0816326530612245,45,0,2,2,45,45,49
5,1,42.6658902,3.65631653924802,3.15772792025965,0.304693044937335,0.679699869475593,3,2.14285714285714,0.136363636363636,0.363636363636364,0.5,1,0.727272727272727,0.366666666666667,0.633333333333333,11,3,8,8,12,14,30
6,1,38.5230798,2.80351416762893,2.80351416762893,0.233626180635745,0.597044683846903,0,2.4,0,0.411764705882353,0.411764705882353,1,1,0.416666666666667,0.583333333333333,10,0,7,7,10,10,24
7,1,15.3895657,15.594981994846,15.594981994846,1.29958183290384,1.29958183290384,0,1,0,0,0,1,1,1,0,21,0,0,0,21,21,21
8,1,34.925997,4.81017048704436,4.60103263978157,0.40084754058703,0.858959015543636,1,2.06666666666667,0.0434782608695652,0.347826086956522,0.391304347826087,1,0.888888888888889,0.451612903225806,0.548387096774194,14,1,8,8,15,15,31
9,1,19.0631973,13.2191885775635,12.6183163694925,1.10159904813029,1.10159904813029,1,1,0.0454545454545455,0,0.0454545454545455,1,0,0.954545454545455,0.0454545454545455,21,1,0,0,22,22,22
10,1,59.5819999,5.63928704246129,5.40911206113634,0.469940586871774,1.14128428240288,2,2.37931034482759,0.0408163265306122,0.408163265306122,0.448979591836735,1,0.909090909090909,0.391304347826087,0.608695652173913,27,2,20,20,28,29,69
11,1,21.3316484,10.6883441787837,10.6883441787837,0.890695348231973,0.890695348231973,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
12,1,44.4448571,7.28993231480094,6.40091617884961,0.607494359566745,1.10248976365817,5,1.78571428571429,0.121951219512195,0.268292682926829,0.390243902439024,1,0.6875,0.480769230769231,0.519230769230769,25,5,11,11,30,28,50
13,1,20.1669333,9.52053528138559,9.08778367768625,0.793377940115466,1.28923915268763,1,1.58823529411765,0.0454545454545455,0.227272727272727,0.272727272727273,1,0.833333333333333,0.592592592592593,0.407407407407407,16,1,5,5,16,17,27
14,1,42.6602584,9.84522869181683,9.84522869181683,0.820435724318069,1.85184063488936,0,2.22222222222222,0,0.379310344827586,0.379310344827586,1,1,0.45,0.55,36,0,22,22,36,36,80
15,1,34.4919034,5.91443150104613,5.70320180458019,0.492869291753844,1.0727155173466,1,2.11111111111111,0.0357142857142857,0.357142857142857,0.392857142857143,1,0.909090909090909,0.447368421052632,0.552631578947368,17,1,10,10,18,18,38
16,1,38.2874785,8.77571501607242,8.77571501607242,0.731309584672702,1.09696437700905,0,1.48275862068966,0,0.194444444444444,0.194444444444444,1,1,0.674418604651163,0.325581395348837,29,0,7,7,29,29,43
17,1,17.2847525,16.6620841114155,16.6620841114155,1.38850700928463,1.38850700928463,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
18,1,17.8564082,10.0804147163258,10.0804147163258,0.840034559693813,1.73607142336721,0,2,0,0.333333333333333,0.333333333333333,1,1,0.5,0.5,16,0,8,8,16,16,32
