Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,53.2343493,6.98796932603814,6.81327009288719,0.582330777169845,0.882888597644604,1,1.5,0.025,0.2,0.225,1,0.888888888888889,0.645833333333333,0.354166666666667,31,1,8,8,31,32,48
2,0,7.667704,35.9951297024507,32.9955355605798,2.99959414187089,2.99959414187089,2,1,0.0833333333333333,0,0.0833333333333333,1,0,0.916666666666667,0.0833333333333333,22,2,0,0,23,24,24
3,0,25.7334347,9.32638813271203,9.32638813271203,0.777199011059336,1.08807861548307,0,1.38095238095238,0,0.16,0.16,1,1,0.724137931034483,0.275862068965517,21,0,4,4,21,21,29
4,1,18.0945669,20.5586573061331,20.0176400086033,1.71322144217776,2.37640393592399,1,1.375,0.0263157894736842,0.157894736842105,0.184210526315789,1,0.857142857142857,0.704545454545455,0.295454545454545,31,1,6,6,31,32,44
5,1,0,0,0,0,0,21,0,1,0,1,1,0,0,1,0,21,0,0,21,0,0
6,1,16.6749856,19.4303016369621,18.0424229486077,1.61919180308018,1.61919180308018,2,1,0.0714285714285714,0,0.0714285714285714,1,0,0.928571428571429,0.0714285714285714,26,2,0,0,27,28,28
7,1,35.1815998,15.007845095208,12.6732914137312,1.250653757934,1.250653757934,7,1,0.155555555555556,0,0.155555555555556,1,0,0.844444444444444,0.155555555555556,38,7,0,0,42,45,45
8,1,20.653721,18.5922914326188,18.5922914326188,1.5493576193849,1.64619247059646,0,1.06060606060606,0,0.0294117647058824,0.0294117647058824,1,1,0.942857142857143,0.0571428571428571,33,0,1,1,33,33,35
9,1,26.2862113,14.1519063266451,13.7230606803831,1.17932552722043,1.25541104510561,1,1.0625,0.0303030303030303,0.0303030303030303,0.0606060606060606,1,0.5,0.911764705882353,0.0882352941176471,31,1,1,1,31,32,34
10,1,15.0990006,23.8426376378845,23.1201334670395,1.9868864698237,2.2518046658002,1,1.12903225806452,0.0303030303030303,0.0606060606060606,0.0909090909090909,1,0.666666666666667,0.857142857142857,0.142857142857143,30,1,2,2,31,31,35
11,1,36.4802546,9.86835217975699,9.56931120461284,0.822362681646416,0.932011039199271,1,1.12903225806452,0.0303030303030303,0.0606060606060606,0.0909090909090909,1,0.666666666666667,0.857142857142857,0.142857142857143,30,1,2,2,30,31,35
12,1,24.9325102,10.5885848589766,10.1813315951698,0.882382071581385,1.12303172746722,1,1.26086956521739,0.0384615384615385,0.115384615384615,0.153846153846154,1,0.75,0.758620689655172,0.241379310344828,22,1,3,3,22,23,29
13,1,14.1768242,16.0825863947724,15.3167489474023,1.3402155328977,1.48129085215009,1,1.1,0.0476190476190476,0.0476190476190476,0.0952380952380952,1,0.5,0.863636363636364,0.136363636363636,19,1,1,1,19,20,22
14,1,23.3151292,12.352494276549,11.858394505487,1.02937452304575,1.02937452304575,1,1,0.04,0,0.04,1,0,0.96,0.04,24,1,0,0,24,25,25
15,1,17.6882288,14.9251800722976,14.3032975692852,1.2437650060248,1.35683455202705,1,1.08695652173913,0.0416666666666667,0.0416666666666667,0.0833333333333333,1,0.5,0.88,0.12,22,1,1,1,22,23,25
16,1,25.0016162,12.9591622160811,10.9342931198184,1.07993018467342,1.07993018467342,5,1,0.15625,0,0.15625,1,0,0.84375,0.15625,27,5,0,0,32,28,28
17,1,39.6377621,10.8986980372436,10.6617698190427,0.908224836436969,1.36233725465545,1,1.48648648648649,0.0217391304347826,0.195652173913043,0.217391304347826,1,0.9,0.654545454545455,0.345454545454545,36,1,9,9,36,37,55
18,1,20.3748304,9.42339132305121,4.57707578548202,0.785282610254267,0.785282610254267,18,1,0.514285714285714,0,0.514285714285714,1,0,0.485714285714286,0.514285714285714,17,18,0,0,35,17,17
