Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,182.8551632,1.96877131441044,1.85627009644413,0.16406427620087,0.207814749854436,2,1.25806451612903,0.0571428571428571,0.114285714285714,0.171428571428571,1,0.666666666666667,0.743589743589744,0.256410256410256,29,2,4,4,31,31,39
2,0,26.1129778,10.5694571532167,10.129063105166,0.880788096101395,0.880788096101395,1,1,0.0416666666666667,0,0.0416666666666667,1,0,0.958333333333333,0.0416666666666667,23,1,0,0,23,24,24
3,0,120.2430678,1.9959570592393,1.9959570592393,0.166329754936608,0.365925460860539,0,2.14285714285714,0,0.363636363636364,0.363636363636364,1,1,0.466666666666667,0.533333333333333,21,0,12,12,21,21,45
4,1,106.2597359,3.38792485178763,3.38792485178763,0.282327070982302,0.875213920045137,0,3.03225806451613,0,0.474576271186441,0.474576271186441,0.8,1,0.329787234042553,0.670212765957447,31,0,28,35,31,31,94
5,1,24.6236904,9.25937567831019,8.81845302696208,0.771614639859182,0.771614639859182,1,1,0.0476190476190476,0,0.0476190476190476,1,0,0.952380952380952,0.0476190476190476,20,1,0,0,21,20,20
6,1,34.9090267,7.90626454217356,6.49443158821399,0.658855378514463,0.716147150559199,5,1.08333333333333,0.178571428571429,0.0357142857142857,0.214285714285714,1,0.166666666666667,0.758620689655172,0.241379310344828,22,5,1,1,27,24,26
7,1,172.4226038,2.7142612957107,2.52707086152375,0.226188441309225,0.794559396393943,6,3.45,0.0689655172413793,0.517241379310345,0.586206896551724,0.849056603773585,0.882352941176471,0.257142857142857,0.742857142857143,36,6,45,53,42,40,138
8,1,80.9510098,4.74360975791064,4.74360975791064,0.39530081315922,1.23531504112256,0,3.06060606060606,0,0.484375,0.484375,0.837837837837838,1,0.326732673267327,0.673267326732673,33,0,31,37,33,33,101
9,1,30.0529858,11.5795482790266,11.2060144635741,0.964962356585548,0.964962356585548,1,1,0.032258064516129,0,0.032258064516129,1,0,0.967741935483871,0.032258064516129,30,1,0,0,31,30,30
10,1,64.0823368,5.43051357640254,5.33524140839548,0.452542798033545,1.31081362189027,1,2.83333333333333,0.0175438596491228,0.456140350877193,0.473684210526316,0.896551724137931,0.962962962962963,0.348837209302326,0.651162790697674,30,1,26,29,31,30,85
11,1,44.4759287,7.55464831923791,7.33245278043679,0.629554026603159,0.809426605632633,1,1.27586206896552,0.0294117647058824,0.117647058823529,0.147058823529412,1,0.8,0.763157894736842,0.236842105263158,29,1,4,4,30,29,37
12,1,20.8942876,10.9120734032588,9.4240633937235,0.909339450271566,0.909339450271566,3,1,0.136363636363636,0,0.136363636363636,1,0,0.863636363636364,0.136363636363636,19,3,0,0,22,20,20
13,1,18.1532279,11.8987103114593,10.019966578071,0.991559192621605,0.991559192621605,3,1,0.157894736842105,0,0.157894736842105,1,0,0.842105263157895,0.157894736842105,16,3,0,0,19,19,19
14,1,104.2342084,2.64788311089625,2.64788311089625,0.220656925908021,1.11287840892741,0,4.875,0,0.625,0.625,0.754716981132076,1,0.205128205128205,0.794871794871795,24,0,40,53,24,24,117
15,1,81.519518,2.79687620331612,2.67786019466437,0.23307301694301,0.969093070447252,2,4,0.0425531914893617,0.531914893617021,0.574468085106383,0.714285714285714,0.925925925925926,0.24390243902439,0.75609756097561,20,2,25,35,22,20,80
16,1,73.9750685,5.02872126438112,4.91940123689457,0.419060105365093,0.797566006985178,1,1.875,0.0217391304347826,0.304347826086957,0.326086956521739,1,0.933333333333333,0.516666666666667,0.483333333333333,31,1,14,14,32,32,60
17,1,55.3293612,7.59090636311196,7.59090636311196,0.63257553025933,1.50010768604355,0,2.33333333333333,0,0.4,0.4,1,1,0.428571428571429,0.571428571428571,36,0,24,24,36,36,84
18,1,96.6455468,4.34577705757261,4.25331371592213,0.362148088131051,0.589784029241997,1,1.61111111111111,0.0212765957446809,0.234042553191489,0.25531914893617,1,0.916666666666667,0.603448275862069,0.396551724137931,35,1,11,11,35,36,58
