Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,29,0,1,0,1,1,0,0,1,0,29,0,0,29,0,0
2,0,0.8129647,14.7607885065612,0.797880459814121,1.2300657088801,1.2300657088801,35,1,0.945945945945946,0,0.945945945945946,1,0,0.0540540540540541,0.945945945945946,2,35,0,0,37,2,2
3,0,15.3192853,24.2831171764913,23.5242697647259,2.02359309804094,2.02359309804094,1,1,0.03125,0,0.03125,1,0,0.96875,0.03125,31,1,0,0,31,32,32
4,1,0,0,0,0,0,27,0,1,0,1,1,0,0,1,0,27,0,0,27,0,0
5,1,18.7624338,12.1519416100485,12.1519416100485,1.01266180083737,1.01266180083737,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
6,1,21.6602819,9.97216938344648,9.97216938344648,0.831014115287207,0.831014115287207,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
7,1,6.4502275,9.30199748768551,1.80038661051978,0.775166457307126,0.775166457307126,25,1,0.806451612903226,0,0.806451612903226,1,0,0.193548387096774,0.806451612903226,6,25,0,0,31,6,6
8,1,28.7636757,7.50947139902568,7.1339978290744,0.62578928325214,0.695321425835711,1,1.10526315789474,0.05,0.05,0.1,1,0.5,0.857142857142857,0.142857142857143,18,1,1,1,18,19,21
9,1,36.8439182,9.77094775983951,9.77094775983951,0.814245646653292,0.868528689763512,0,1.06451612903226,0,0.03125,0.03125,1,1,0.939393939393939,0.0606060606060606,31,0,1,1,31,31,33
10,1,41.9654258,9.15038970008497,9.15038970008497,0.762532475007081,0.857849034382966,0,1.12121212121212,0,0.0571428571428571,0.0571428571428571,1,1,0.891891891891892,0.108108108108108,33,0,2,2,33,33,37
11,1,38.2021075,8.48120748312119,8.48120748312119,0.706767290260099,0.811473555483817,0,1.14285714285714,0,0.0666666666666667,0.0666666666666667,1,1,0.875,0.125,28,0,2,2,28,28,32
12,1,35.1591362,5.46088501457553,5.21266296845846,0.455073751214627,0.73949484572377,1,1.58823529411765,0.0454545454545455,0.227272727272727,0.272727272727273,1,0.833333333333333,0.592592592592593,0.407407407407407,16,1,5,5,17,17,27
13,1,55.9670036,4.50265305966818,2.971751019381,0.375221088305682,0.839780530969859,17,2.18181818181818,0.34,0.26,0.6,1,0.433333333333333,0.317460317460317,0.682539682539683,20,17,13,13,37,22,48
14,1,44.1617185,10.3256851293049,9.79616281498159,0.86047376077541,0.86047376077541,2,1,0.0512820512820513,0,0.0512820512820513,1,0,0.948717948717949,0.0512820512820513,37,2,0,0,38,39,39
15,1,49.0329477,9.78933599784375,9.33401804445567,0.815777999820313,0.897355799802344,2,1.09756097560976,0.0465116279069767,0.0465116279069767,0.0930232558139535,1,0.5,0.866666666666667,0.133333333333333,39,2,2,2,40,41,45
16,1,65.8777901,8.01484080140691,8.01484080140691,0.667903400117242,0.758981136496866,0,1.13333333333333,0,0.0625,0.0625,1,1,0.882352941176471,0.117647058823529,45,0,3,3,45,45,51
17,1,20.9403839,9.16888634501109,9.16888634501109,0.764073862084257,0.859583094844789,0,1.11764705882353,0,0.0555555555555556,0.0555555555555556,1,1,0.894736842105263,0.105263157894737,17,0,1,1,17,17,19
18,1,47.686268,8.05263267823769,7.83499395720423,0.671052723186474,0.796875108783938,1,1.18181818181818,0.027027027027027,0.0810810810810811,0.108108108108108,1,0.75,0.825,0.175,33,1,3,3,34,33,39
