Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,0,0,0,0,0,29,0,1,0,1,1,0,0,1,0,29,0,0,29,0,0
2,0,0,0,0,0,0,37,0,1,0,1,1,0,0,1,0,37,0,0,37,0,0
3,0,22.3026813,18.293764525972,16.2030485801467,1.52448037716434,1.52448037716434,4,1,0.114285714285714,0,0.114285714285714,1,0,0.885714285714286,0.114285714285714,31,4,0,0,31,35,35
4,1,25.4186414,12.2744561792355,12.2744561792355,1.02287134826962,1.18023617108033,0,1.14814814814815,0,0.0689655172413793,0.0689655172413793,1,1,0.870967741935484,0.129032258064516,27,0,2,2,27,27,31
5,1,18.4814782,12.3366755371332,12.3366755371332,1.0280562947611,1.0280562947611,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
6,1,18.0349441,11.9767490712655,11.9767490712655,0.998062422605457,0.998062422605457,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
7,1,26.6051773,13.5312009365936,13.5312009365936,1.12760007804947,1.12760007804947,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
8,1,16.1452389,12.6353038975472,12.6353038975472,1.05294199146226,1.05294199146226,0,1,0,0,0,1,1,1,0,18,0,0,0,18,18,18
9,1,24.3800626,14.7661638899976,14.7661638899976,1.2305136574998,1.2305136574998,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
10,1,27.1516608,14.1427812769376,14.1427812769376,1.17856510641147,1.17856510641147,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
11,1,21.0071681,15.4233068663834,15.4233068663834,1.28527557219862,1.28527557219862,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
12,1,58.8794601,3.26089946602618,3.26089946602618,0.271741622168849,0.441580136024379,0,1.58823529411765,0,0.227272727272727,0.227272727272727,1,1,0.62962962962963,0.37037037037037,17,0,5,5,17,17,27
13,1,31.4440676,13.3570505362989,12.0539236547088,1.11308754469158,1.3675075549068,4,1.22222222222222,0.0975609756097561,0.0975609756097561,0.195121951219512,1,0.5,0.733333333333333,0.266666666666667,33,4,4,4,37,36,44
14,1,27.1364322,13.7085080771967,11.5440068018498,1.14237567309972,1.14237567309972,6,1,0.157894736842105,0,0.157894736842105,1,0,0.842105263157895,0.157894736842105,32,6,0,0,38,32,32
15,1,37.0421637,11.9863408518979,10.8447845802886,0.998861737658159,1.10684679037796,4,1.10526315789474,0.0952380952380952,0.0476190476190476,0.142857142857143,1,0.333333333333333,0.818181818181818,0.181818181818182,36,4,2,2,40,38,42
16,1,34.7981431,14.8283774371857,14.1693384399775,1.23569811976548,1.23569811976548,2,1,0.0444444444444444,0,0.0444444444444444,1,0,0.955555555555556,0.0444444444444444,43,2,0,0,45,44,44
17,1,15.8135958,12.1414510923569,11.4272480869241,1.01178759102974,1.01178759102974,1,1,0.0588235294117647,0,0.0588235294117647,1,0,0.941176470588235,0.0588235294117647,16,1,0,0,17,17,17
18,1,28.2067411,13.6137669587076,13.2133620481574,1.1344805798923,1.1344805798923,1,1,0.0294117647058824,0,0.0294117647058824,1,0,0.970588235294118,0.0294117647058824,33,1,0,0,34,33,33
