Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,0,112.231471,2.45920326572214,2.11764725659407,0.204933605476845,0.329675800114925,5,1.58333333333333,0.138888888888889,0.194444444444444,0.333333333333333,1,0.583333333333333,0.558139534883721,0.441860465116279,24,5,7,7,29,24,38
2,0,310.8754521,3.55126142171198,2.14083135351431,0.295938451809331,0.604743792827764,56,2.03225806451613,0.397163120567376,0.340425531914894,0.737588652482269,1,0.461538461538462,0.195767195767196,0.804232804232804,37,56,48,48,37,93,189
3,0,51.8579532,6.94204028091105,6.94204028091105,0.578503356742587,1.04130604213666,0,1.7741935483871,0,0.27906976744186,0.27906976744186,1,1,0.563636363636364,0.436363636363636,31,0,12,12,31,31,55
4,1,68.9036608,4.52806130149764,4.52806130149764,0.37733844179147,0.75467688358294,0,1.96296296296296,0,0.325,0.325,1,1,0.509433962264151,0.490566037735849,27,0,13,13,27,27,53
5,1,65.6709996,3.47185213242894,3.47185213242894,0.289321011035745,0.56341460043803,0,1.9,0,0.310344827586207,0.310344827586207,1,1,0.526315789473684,0.473684210526316,20,0,9,9,20,20,38
6,1,19.7308001,10.9473512936761,10.9473512936761,0.91227927447301,0.91227927447301,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
7,1,73.1734347,5.08381219940192,4.75225922987571,0.423651016616827,0.901966680539051,3,2.09375,0.0652173913043478,0.304347826086957,0.369565217391304,0.666666666666667,0.823529411764706,0.432835820895522,0.567164179104478,29,3,14,21,31,32,67
8,1,23.3313849,8.74358726986669,8.74358726986669,0.728632272488891,1.24296093542223,0,1.66666666666667,0,0.25,0.25,1,1,0.6,0.4,18,0,6,6,18,18,30
9,1,44.3782244,8.11208661155898,8.11208661155898,0.676007217629915,0.901342956839887,0,1.32258064516129,0,0.138888888888889,0.138888888888889,1,1,0.75609756097561,0.24390243902439,31,0,5,5,31,31,41
10,1,40.4086408,9.50291799965714,9.50291799965714,0.791909833304762,0.890898562467857,0,1.12121212121212,0,0.0571428571428571,0.0571428571428571,1,1,0.891891891891892,0.108108108108108,33,0,2,2,33,33,37
11,1,30.3900014,8.68706771431738,6.94965417145391,0.723922309526448,0.855544547622166,6,1.17391304347826,0.2,0.0666666666666667,0.266666666666667,1,0.25,0.6875,0.3125,22,6,2,2,28,23,27
12,1,535.7347036,2.48630523848707,1.53156402690804,0.207192103207256,0.742905018707099,96,3.5625,0.384,0.552,0.936,0.926174496644295,0.58974358974359,0.0401002506265664,0.959899749373434,16,96,138,149,17,112,399
13,1,58.3284835,7.40633004799448,7.40633004799448,0.617194170666206,1.23438834133241,0,1.97297297297297,0,0.327272727272727,0.327272727272727,1,1,0.506849315068493,0.493150684931507,37,0,18,18,37,37,73
14,1,29.0805833,12.3793940543139,10.0214142344446,1.03161617119282,1.34110102255067,8,1.29032258064516,0.19047619047619,0.0952380952380952,0.285714285714286,0.8,0.333333333333333,0.638297872340426,0.361702127659574,30,8,4,5,38,31,40
15,1,80.2974664,5.82832835183951,5.74133837643892,0.485694029319959,1.15819345453221,1,2.35,0.0149253731343284,0.402985074626866,0.417910447761194,1,0.964285714285714,0.414893617021277,0.585106382978723,39,1,27,27,40,40,94
16,1,65.1697311,8.10192080108184,8.10192080108184,0.67516006675682,1.01274010013523,0,1.48888888888889,0,0.196428571428571,0.196428571428571,1,1,0.671641791044776,0.328358208955224,45,0,11,11,45,45,67
17,1,13.7860109,14.797609074863,13.975519681815,1.23313408957192,1.23313408957192,1,1,0.0555555555555556,0,0.0555555555555556,1,0,0.944444444444444,0.0555555555555556,17,1,0,0,17,18,18
18,1,52.7805967,7.27540088609874,7.1137253108521,0.606283407174895,1.02310324960763,1,1.66666666666667,0.0222222222222222,0.244444444444444,0.266666666666667,1,0.916666666666667,0.589285714285714,0.410714285714286,33,1,11,11,34,33,55
